"pix","year","for_age_2003","for_con_2003","for_pro","elev","p1_trend","p1_trend_slope","trend_20yrs","delta_for_age_lag3","delta_for_con_lag3","delta_cmi_sm_lag3","delta_dd5_wt_lag3","avg_for_age","avg_for_con","avg_cmi_sm","avg_dd5_wt","min_cmi_sm","min_dd5_wt","max_cmi_sm","max_dd5_wt","delta_for_age_lag2","delta_for_con_lag2","delta_cmi_sm_lag2","delta_dd5_wt_lag2","delta_for_age_lag1","delta_for_con_lag1","delta_cmi_sm_lag1","delta_dd5_wt_lag1","delta_for_age","delta_for_con","delta_cmi_sm","delta_dd5_wt","fire","harv","insc","gfc","canlad","abio","count_brk_neg","sum_brk_magnitude_neg","avg_brk_magnitude_neg","count_brk_pos","sum_brk_magnitude_pos","avg_brk_magnitude_pos","cmi_sm_nrange","dd5_wt_nrange","min_cmi_sm_rel","max_cmi_sm_rel","min_dd5_wt_rel","max_dd5_wt_rel","map_nrange","mat_nrange","min_map_rel","max_map_rel","min_mat_rel","max_mat_rel","cmi_sm_cv","dd5_wt_cv","cmi_sm_cqv","dd5_wt_cqv","cmi_sm_nrange30","min_cmi_sm_rel30","max_cmi_sm_rel30","dd5_wt_nrange30","min_dd5_wt_rel30","max_dd5_wt_rel30","map_nrange30","min_map_rel30","max_map_rel30","mat_nrange30","min_mat_rel30","max_mat_rel30","cmi_sm_nrange30_reg","min_cmi_sm_rel30_reg","max_cmi_sm_rel30_reg","dd5_wt_nrange30_reg","min_dd5_wt_rel30_reg","max_dd5_wt_rel30_reg","map_nrange30_reg","min_map_rel30_reg","max_map_rel30_reg","mat_nrange30_reg","min_mat_rel30_reg","max_mat_rel30_reg","cmi_sm_rel30","dd5_wt_rel30","cmi_sm_rel30_reg","dd5_wt_rel30_reg","canlad_factor"
1741,2003,63.337,38.15,0,376.032,1,3.66,1,,,-6.581,0,58.132,38.397,-2.664,4.8,-12.172,4,3.22,7,-5.205,0.248,4.58,2,-2.603,0.124,7.431,-3,-10.41,0.495,5.043,3,,1,0,1,1,0,0,0,0,0,0,0,-5.778,0.625,4.569,-1.209,0.833,1.458,0.208,0.493,0.914,1.122,0.784,1.278,1.911,0.243,-0.18,0.111,18.125,-14.333,3.792,1,1.333,2.333,0.209,0.919,1.128,0.589,0.935,1.524,-7.061,5.583,-1.477,0.8,1.067,1.867,0.209,0.919,1.128,0.498,0.792,1.29,-2.13693341464628,0.6,1.222,1.28,"1"
14026,2003,81.888,31.196,0,404.462,1,5.81,,,,-7.088,0,82.144,33.705,-2.09,4.8,-11.345,4,4.095,7,0.256,2.51,4.49,2,0.128,1.255,7.509,-3,0.511,5.019,5.592,3,,0,0,1,1,0,0,0,0,0,0,0,-7.388,0.625,5.428,-1.959,0.833,1.458,0.199,0.495,0.914,1.113,0.784,1.28,2.416,0.243,-0.456,0.111,44.354,-32.59,11.763,1,1.333,2.333,0.201,0.925,1.126,0.586,0.928,1.514,-7.083,5.204,-1.878,0.8,1.067,1.867,0.205,0.939,1.144,0.496,0.785,1.28,-5.003827422317,0.6,0.959,1.28,"1"
440884,2003,80.115,44.8,0,408.048,1,3.729,1,,,-12.719,0,83.575,41.608,-4.332,7.328,-10.647,6,-0.708,10.208,3.461,-3.192,6.48,2,1.731,-1.596,-1.027,-4,6.921,-6.385,4.896,4.208,,1,0,1,1,0,0,0,0,0,0,0,-2.294,0.574,2.458,0.163,0.819,1.393,0.196,0.403,0.91,1.107,0.829,1.232,0.819,0.211,-0.501,0.107,3.462,-3.709,-0.247,1.052,1.5,2.552,0.204,0.946,1.151,0.457,0.94,1.397,-4.559,4.884,0.325,1.122,1.6,2.722,0.195,0.906,1.101,0.486,0.999,1.485,-0.509044431359032,0.832,1.987,1.954,"1"
16145,2003,70.843,44.195,0,398.724,1,3.66,5,,,-6.788,0,73.605,48.625,-2.481,4.6,-11.975,4,3.349,6,2.763,4.431,4.525,2,1.381,2.216,7.189,-2,5.525,8.861,5.052,2,,0,0,0,1,1,0,0,0,0,0,0,-6.177,0.435,4.827,-1.35,0.87,1.304,0.211,0.495,0.913,1.123,0.785,1.28,2.047,0.174,-0.343,0.111,23.234,-18.156,5.078,0.667,1.333,2,0.212,0.918,1.129,0.586,0.93,1.516,-7.029,5.493,-1.536,0.533,1.067,1.6,0.213,0.922,1.135,0.479,0.761,1.24,-2.76160461930405,0.533333333333333,1.138,1.227,"1"
288592,2003,81.43,46.333,1,421.596,1,5.221,,,,-10.892,0,79.535,47.04,-3.312,6.023,-10.622,5,1.202,8.117,-1.895,0.707,3.632,2,-0.948,0.353,2.025,-3,-3.79,1.413,5.609,3.117,,1,0,1,1,0,0,0,0,0,0,0,-3.57,0.518,3.207,-0.363,0.83,1.348,0.194,0.445,0.914,1.108,0.805,1.25,1.235,0.189,-0.753,0.091,7.69,-6.908,0.782,0.779,1.25,2.029,0.199,0.936,1.136,0.506,0.917,1.423,-5.424,4.872,-0.551,0.831,1.333,2.165,0.2,0.94,1.14,0.481,0.871,1.352,-1.15406747719813,0.50575,1.519,1.606,"1"
327777,2003,68.64,18.212,0,324.237,1,3.714,,,,-10.707,-0.643,72.958,17.176,-4.839,6.4,-12.224,5,-0.502,9,4.318,-1.037,5.288,2,2.159,-0.519,1.035,-4.643,8.637,-2.073,5.057,4,,0,0,1,1,0,0,0,0,0,0,0,-2.422,0.625,2.526,0.104,0.781,1.406,0.212,0.4,0.908,1.12,0.83,1.23,0.835,0.234,-0.401,0.167,3.56,-3.713,-0.152,1,1.25,2.25,0.218,0.932,1.149,0.449,0.932,1.382,-5.377,5.607,0.23,1.067,1.333,2.4,0.201,0.861,1.062,0.482,1,1.482,-0.46970833379195,0.6,2.22,1.707,"1"
444040,2003,70.057,30.567,0,303.042,1,3.394,1,,,-12.279,-0.819,80.555,37.055,-6.238,7.971,-12.864,6,-2.539,12,10.498,6.488,7.798,2.181,5.249,3.244,-0.53,-6.418,20.996,12.977,4.354,5.819,,0,0,1,1,0,0,0,0,0,0,0,-1.655,0.753,2.062,0.407,0.753,1.505,0.202,0.357,0.907,1.11,0.848,1.206,0.579,0.271,-0.29,0.128,2.106,-2.623,-0.518,1.2,1.2,2.4,0.211,0.945,1.155,0.398,0.945,1.343,-4.736,5.901,1.165,1.6,1.6,3.2,0.195,0.875,1.07,0.49,1.164,1.654,-0.272135080516157,0.5942,2.861,2.126,"1"
118066,2003,83.106,74.046,0,269.885,1,3.313,,,,-7.09,-1,83.292,72.046,-5.42,5.304,-14.823,4,-0.091,7.759,0.186,-2,4.898,1.685,0.093,-1,4.87,-4,0.372,-4.001,4.547,3.759,,0,0,1,1,0,0,0,0,0,0,0,-2.718,0.709,2.735,0.017,0.754,1.463,0.238,0.412,0.9,1.138,0.827,1.238,0.93,0.263,-0.377,0.18,3.871,-3.895,-0.024,1.253,1.333,2.586,0.239,0.904,1.143,0.47,0.943,1.412,-6.758,6.8,0.042,1.002,1.067,2.069,0.223,0.846,1.069,0.475,0.953,1.428,-0.424047371343466,0.768,2.486,1.414,"1"
48253,2003,72.889,28.628,0,253.242,1,6.009,1,,,-4.611,0,72.48,29.531,-5.342,5,-15.462,4,-0.227,7,-0.409,0.904,5.755,2,-0.204,0.452,5.814,-4,-0.818,1.807,3.101,3,,0,0,0,1,0,0,0,0,1,633.421,633.421,-2.852,0.6,2.894,0.042,0.8,1.4,0.26,0.396,0.887,1.147,0.837,1.233,0.994,0.219,-0.356,0.111,3.913,-3.971,-0.058,1,1.333,2.333,0.26,0.887,1.146,0.45,0.95,1.4,-6.989,7.093,0.104,0.8,1.067,1.867,0.242,0.828,1.071,0.475,1.003,1.478,-0.371927195064829,0.666666666666667,2.45,1.333,"1"
317457,2003,90.757,33.272,0,423.654,1,4.53,5,,,-10.97,0,92.624,32.41,-3.467,6,-10.848,5,0.985,8,1.867,-0.863,4.702,2,0.933,-0.432,1.176,-3,3.734,-1.725,5.419,3,,1,0,0,1,0,0,0,0,0,0,0,-3.413,0.5,3.129,-0.284,0.833,1.333,0.206,0.455,0.91,1.117,0.805,1.261,1.181,0.183,-0.692,0.091,6.374,-5.843,0.531,0.75,1.25,2,0.212,0.933,1.145,0.519,0.918,1.437,-5.428,4.976,-0.452,0.8,1.333,2.133,0.206,0.907,1.113,0.49,0.866,1.356,-0.867473377625782,0.5,1.59,1.6,"1"
