"pix","year","for_age_2003","for_con_2003","for_pro","elev","p1_trend","p1_trend_slope","trend_20yrs","delta_for_age_lag3","delta_for_con_lag3","delta_cmi_sm_lag3","delta_dd5_wt_lag3","avg_for_age","avg_for_con","avg_cmi_sm","avg_dd5_wt","min_cmi_sm","min_dd5_wt","max_cmi_sm","max_dd5_wt","delta_for_age_lag2","delta_for_con_lag2","delta_cmi_sm_lag2","delta_dd5_wt_lag2","delta_for_age_lag1","delta_for_con_lag1","delta_cmi_sm_lag1","delta_dd5_wt_lag1","delta_for_age","delta_for_con","delta_cmi_sm","delta_dd5_wt","fire","harv","insc","gfc","canlad","abio","count_brk_neg","sum_brk_magnitude_neg","avg_brk_magnitude_neg","count_brk_pos","sum_brk_magnitude_pos","avg_brk_magnitude_pos","cmi_sm_nrange","dd5_wt_nrange","min_cmi_sm_rel","max_cmi_sm_rel","min_dd5_wt_rel","max_dd5_wt_rel","map_nrange","mat_nrange","min_map_rel","max_map_rel","min_mat_rel","max_mat_rel","cmi_sm_cv","dd5_wt_cv","cmi_sm_cqv","dd5_wt_cqv","cmi_sm_nrange30","min_cmi_sm_rel30","max_cmi_sm_rel30","dd5_wt_nrange30","min_dd5_wt_rel30","max_dd5_wt_rel30","map_nrange30","min_map_rel30","max_map_rel30","mat_nrange30","min_mat_rel30","max_mat_rel30","cmi_sm_nrange30_reg","min_cmi_sm_rel30_reg","max_cmi_sm_rel30_reg","dd5_wt_nrange30_reg","min_dd5_wt_rel30_reg","max_dd5_wt_rel30_reg","map_nrange30_reg","min_map_rel30_reg","max_map_rel30_reg","mat_nrange30_reg","min_mat_rel30_reg","max_mat_rel30_reg","cmi_sm_rel30","dd5_wt_rel30","cmi_sm_rel30_reg","dd5_wt_rel30_reg","canlad_factor"
127444,2003,66.148,64.569,0,213.094,2,-10.607,1,,,-5.921,0,71.764,55.206,-6.429,6,-16.272,4,-1.143,9,5.617,-9.364,6.161,2,2.808,-4.682,4.757,-5,11.232,-18.727,3.742,4,,1,0,1,1,0,0,0,0,1,748.094,748.094,-2.353,0.833,2.531,0.178,0.667,1.5,0.252,0.36,0.892,1.145,0.851,1.212,0.815,0.279,-0.334,0.091,2.906,-3.126,-0.22,1.25,1,2.25,0.254,0.899,1.154,0.404,0.955,1.359,-6.94,7.464,0.524,1.333,1.067,2.4,0.232,0.821,1.054,0.475,1.122,1.597,-0.235097645392441,0.5,2.949,1.6,"1"
119063,2003,91.129,51.567,0,328.999,2,-6.68,1,,,-7.448,0,94.059,47.891,-4.462,5,-13.729,4,0.91,7,2.93,-3.676,4.582,2,1.465,-1.838,4.908,-3.075,5.859,-7.352,4.779,3,,0,0,1,1,0,0,0,0,0,0,0,-3.281,0.6,3.077,-0.204,0.8,1.4,0.233,0.448,0.902,1.135,0.811,1.26,1.119,0.219,-0.504,0.111,5.263,-4.936,0.327,1,1.333,2.333,0.234,0.907,1.141,0.517,0.935,1.452,-6.715,6.298,-0.417,0.8,1.067,1.867,0.224,0.867,1.09,0.483,0.873,1.356,-0.604086068567342,0.666666666666667,2.047,1.333,"1"
18297,2003,76.116,33.654,0,314.578,2,-10.504,1,,,-5.876,0,72.401,33.947,-4.248,4.606,-14.017,4,1.074,6.03,-3.714,0.292,4.793,2,-1.857,0.146,6.622,-3,-7.429,0.585,4.069,2.03,,0,0,1,1,0,0,0,0,0,0,0,-3.552,0.441,3.3,-0.253,0.868,1.309,0.236,0.463,0.9,1.136,0.802,1.265,1.207,0.176,-0.277,0.111,6.169,-5.73,0.439,0.677,1.333,2.01,0.235,0.9,1.135,0.539,0.934,1.473,-6.922,6.43,-0.493,0.541,1.067,1.608,0.227,0.866,1.092,0.482,0.836,1.319,-0.736513877177247,0.535333333333333,1.949,1.228,"1"
15214,2003,83.096,49.699,0,334.885,2,-3.74,1,,,-5.799,0,83.612,49.451,-4.014,4.6,-13.812,4,1.325,6,0.516,-0.248,4.809,2,0.258,-0.124,6.686,-3,1.032,-0.496,4.046,2,,0,0,0,1,0,0,0,0,0,0,0,-3.771,0.435,3.441,-0.33,0.87,1.304,0.237,0.471,0.9,1.137,0.799,1.271,1.281,0.174,-0.304,0.111,6.846,-6.247,0.599,0.667,1.333,2,0.236,0.899,1.135,0.554,0.939,1.493,-6.944,6.336,-0.608,0.533,1.067,1.6,0.229,0.87,1.099,0.482,0.818,1.3,-0.815429381082453,0.533333333333333,1.841,1.227,"1"
472703,2003,73.749,18.459,0,447.336,2,-9.684,1,,,-13.299,0,70.802,18.98,-3.782,7.497,-9.665,6,-0.537,10.507,-2.947,0.521,5.818,2,-1.474,0.26,-1.838,-4,-5.895,1.041,4.75,4.507,,0,0,1,1,1,1,-744.393,-744.393,0,0,0,-2.414,0.601,2.556,0.142,0.8,1.401,0.19,0.42,0.912,1.102,0.82,1.24,0.909,0.223,-0.761,0.142,4.066,-4.305,-0.239,1.127,1.5,2.627,0.198,0.953,1.151,0.476,0.93,1.406,-4.187,4.433,0.246,1.202,1.6,2.802,0.195,0.939,1.134,0.494,0.966,1.46,-0.684652819389433,0.87425,1.735,1.999,"1"
472706,2003,93.874,23.86,0,455.245,2,-13.119,1,,,-13.329,0,87.164,21.67,-3.675,7.393,-9.581,6,-0.446,10.115,-6.71,-2.19,5.893,2,-3.355,-1.095,-1.836,-4,-13.42,-4.38,4.762,4.115,,0,0,1,1,0,1,-1426.201,-1426.201,0,0,0,-2.486,0.557,2.607,0.121,0.812,1.368,0.19,0.415,0.912,1.102,0.825,1.24,0.937,0.207,-0.796,0.134,4.252,-4.46,-0.208,1.029,1.5,2.529,0.199,0.953,1.151,0.472,0.939,1.411,-4.19,4.395,0.205,1.097,1.6,2.697,0.196,0.94,1.136,0.484,0.963,1.447,-0.710560071147624,0.84825,1.686,1.971,"1"
387436,2003,81.622,18.056,0,444.743,2,-4.447,1,,,-11.885,0,78.646,16.017,-3.559,6.4,-10.538,5,0.595,9,-2.977,-2.04,6.353,2,-1.488,-1.02,-0.071,-4,-5.952,-4.079,5.069,4,,0,0,1,1,1,0,0,0,0,0,0,-3.128,0.625,2.961,-0.167,0.781,1.406,0.205,0.441,0.909,1.114,0.813,1.254,1.08,0.234,-0.48,0.167,5.155,-4.879,0.275,1,1.25,2.25,0.212,0.939,1.151,0.503,0.928,1.431,-5.107,4.834,-0.273,1.067,1.333,2.4,0.204,0.907,1.111,0.493,0.909,1.402,-0.647795703960965,0.6,1.633,1.707,"1"
18296,2003,,,0,295.927,2,-5.5,,,,-5.898,0,,,-4.441,4.764,-14.207,4,0.873,6.653,,,4.794,2,,,6.608,-3,,,4.077,2.653,,0,0,0,1,0,0,0,0,0,0,0,-3.396,0.557,3.199,-0.197,0.84,1.397,0.235,0.465,0.9,1.136,0.801,1.265,1.154,0.213,-0.251,0.111,5.72,-5.389,0.331,0.884,1.333,2.218,0.235,0.9,1.135,0.546,0.941,1.487,-6.917,6.517,-0.4,0.707,1.067,1.774,0.225,0.862,1.088,0.492,0.849,1.341,-0.684433846994705,0.588,2.037,1.27,"1"
83037,2003,76.864,72.594,0,297.188,2,-6.964,,,,-7.349,0,72.586,62.259,-4.511,5,-13.779,4,0.822,7,-4.278,-10.336,4.307,2,-2.139,-5.168,5.614,-4,-8.555,-20.671,4.766,3,,1,0,0,1,0,0,0,0,0,0,0,-3.237,0.6,3.055,-0.182,0.8,1.4,0.227,0.434,0.904,1.132,0.816,1.25,1.097,0.219,-0.369,0.111,5.45,-5.144,0.307,1,1.333,2.333,0.228,0.907,1.136,0.501,0.942,1.443,-6.698,6.321,-0.377,0.8,1.067,1.867,0.221,0.877,1.098,0.477,0.897,1.374,-0.683895160568286,0.666666666666667,2.069,1.333,"1"
7015,2003,97.826,41.577,0,326.616,2,-16.157,1,,,-5.287,0,94.912,37.265,-4.208,4.6,-14.134,4,1.053,6,-2.913,-4.312,4.99,2,-1.457,-2.156,6.743,-3,-5.828,-8.624,3.712,2,,0,0,1,1,1,1,-905.741,-905.741,0,0,0,-3.609,0.435,3.359,-0.25,0.87,1.304,0.243,0.484,0.896,1.139,0.791,1.275,1.234,0.174,-0.3,0.111,6.197,-5.767,0.43,0.667,1.333,2,0.243,0.894,1.137,0.575,0.939,1.515,-6.967,6.483,-0.483,0.533,1.067,1.6,0.234,0.861,1.095,0.501,0.818,1.319,-0.71707827452696,0.533333333333333,1.93,1.227,"1"
78929,2003,73.773,34.071,0,330.292,2,-6.527,8,,,-7.237,0,72.525,31.964,-4.137,5,-13.46,4,1.229,7,-1.249,-2.107,4.369,2,-0.625,-1.054,5.66,-3,-2.497,-4.213,4.736,3,,0,0,1,1,0,2,-2638.325,-1319.163,0,0,0,-3.551,0.6,3.254,-0.297,0.8,1.4,0.228,0.454,0.904,1.132,0.807,1.261,1.203,0.219,-0.42,0.111,6.32,-5.791,0.529,1,1.333,2.333,0.229,0.907,1.136,0.528,0.938,1.466,-6.738,6.174,-0.564,0.8,1.067,1.867,0.222,0.881,1.103,0.478,0.85,1.327,-0.780034926848307,0.666666666666667,1.898,1.333,"1"
115060,2003,72.374,59.876,0,246.675,2,-3.422,1,,,-6.179,-1,76.773,61.942,-5.787,5.4,-15.531,4,-0.461,8,4.399,2.066,5.642,1,2.2,1.033,4.75,-5,8.798,4.131,4.019,4,,0,0,1,1,0,0,0,0,0,0,0,-2.604,0.741,2.684,0.08,0.741,1.481,0.251,0.388,0.894,1.145,0.841,1.228,0.899,0.277,-0.387,0.2,3.451,-3.556,-0.106,1,1,2,0.252,0.897,1.149,0.439,0.951,1.39,-6.913,7.124,0.211,1.067,1.067,2.133,0.233,0.829,1.061,0.475,1.029,1.504,-0.325123881346336,0.35,2.655,1.44,"1"
386454,2003,78.249,32.315,0,429.57,2,-3.252,1,,,-11.731,0,77.998,29.408,-3.613,6.534,-10.883,5,0.745,9,-0.252,-2.908,7.212,2.67,-0.126,-1.454,0.102,-3.33,-0.502,-5.815,4.949,3.33,,0,0,1,1,1,0,0,0,0,0,0,-3.218,0.612,3.012,-0.206,0.765,1.377,0.212,0.43,0.906,1.118,0.823,1.252,1.096,0.213,-0.425,0.105,4.985,-4.665,0.319,1,1.25,2.25,0.219,0.936,1.155,0.487,0.932,1.419,-5.334,4.992,-0.342,1.067,1.333,2.4,0.209,0.896,1.105,0.495,0.947,1.442,-0.548868752100385,0.6335,1.657,1.742,"1"
