pix,year,for_age_2003,for_con_2003,for_pro,elev,p1_trend,p1_trend_slope,trend_20yrs,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,fire,harv,insc,gfc,canlad,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos
6645,2003,61.192,26.887,0,290.762,1,3.486,,,,-5.953,0.0,1.926,3.469,5.388,3.0,0.963,1.735,8.632,-4.0,3.853,6.937,6.143,4.0,0,0,1,0,0,,,,,,
6646,2003,74.966,21.237,0,290.133,1,3.411,,,,-5.961,0.0,5.014,2.875,5.38,3.0,2.507,1.438,8.625,-4.118,10.03,5.75,6.143,4.0,0,0,1,0,0,,,,,,
6669,2003,88.747,41.442,0,377.937,1,3.896,,,,-6.227,-0.916,-3.994,5.213,5.307,2.0,-1.997,2.606,8.642,-4.0,-7.988,10.425,6.254,4.0,0,0,0,0,0,,,,,,
6671,2003,89.826,36.958,0,387.858,1,4.173,,,,-6.249,-0.038,-1.231,2.948,5.293,2.0,-0.615,1.474,8.636,-4.0,-2.461,5.894,6.257,4.0,0,0,0,0,0,,,,,,
6681,2003,87.713,46.605,0,384.743,1,4.3,,,,-6.327,0.0,-3.586,4.23,5.209,2.0,-1.793,2.115,8.558,-4.0,-7.172,8.459,6.222,4.0,0,0,0,0,0,,,,,,
6684,2003,73.327,32.102,0,389.76,1,2.795,,,,-6.357,0.0,-2.267,2.216,5.18,2.0,-1.133,1.108,8.54,-4.0,-4.535,4.432,6.217,4.0,0,0,0,0,0,,,,,,
6686,2003,76.815,34.69,0,394.008,1,3.71,,,,-6.364,0.0,5.48,-3.409,5.161,2.0,2.74,-1.704,8.521,-4.0,10.961,-6.819,6.209,4.0,0,0,0,0,0,,,,,,
6687,2003,81.622,30.854,0,396.654,1,3.849,,,,-6.376,0.0,4.95,-2.86,5.147,2.0,2.475,-1.43,8.507,-4.0,9.9,-5.719,6.207,4.0,0,0,0,0,0,,,,,,
6689,2003,74.829,21.45,0,387.679,1,5.358,1,,,-6.39,0.0,5.439,1.431,5.135,2.0,2.719,0.716,8.49,-4.0,10.879,2.861,6.195,4.0,0,0,0,1,0,,,,,,
6693,2003,69.54,37.275,0,361.055,1,4.211,,,,-6.412,-0.776,-3.851,3.349,5.12,2.0,-1.925,1.675,8.454,-4.0,-7.702,6.697,6.155,4.0,0,0,0,0,0,,,,,,
6695,2003,90.054,33.029,0,364.118,1,4.658,,,,-6.422,-0.218,-6.97,4.255,5.096,2.0,-3.485,2.128,8.431,-4.0,-13.941,8.512,6.146,4.0,0,0,1,0,0,,,,,,
6696,2003,93.928,31.192,0,363.299,1,5.17,,,,-6.432,-0.367,-7.473,6.607,5.087,2.0,-3.737,3.303,8.421,-4.0,-14.946,13.216,6.142,4.0,0,0,1,0,0,,,,,,
6702,2003,99.38,14.55,0,366.529,1,3.226,,,,-6.479,0.0,-3.168,3.557,5.02,2.0,-1.584,1.778,8.361,-4.0,-6.336,7.114,6.121,4.0,0,0,1,0,0,,,,,,
6705,2003,65.964,41.927,0,365.631,1,5.159,,,,-6.503,0.0,-1.516,1.673,4.99,2.0,-0.758,0.836,8.335,-4.0,-3.033,3.345,6.108,4.0,0,0,0,0,0,,,,,,
6711,2003,87.391,53.689,0,350.399,1,3.1,,,,-6.555,0.0,-0.534,0.67,4.935,2.0,-0.267,0.335,8.285,-4.0,-1.068,1.34,6.074,4.0,0,0,1,0,0,,,,,,
6719,2003,85.653,40.819,0,296.057,1,3.818,,,,-6.607,-1.0,0.041,0.447,4.918,2.0,0.021,0.223,8.224,-5.0,0.081,0.894,6.003,4.0,0,0,0,0,0,,,,,,
6720,2003,79.52,42.997,0,306.99,1,3.919,1,,,-6.615,-1.0,-3.002,0.675,4.898,2.0,-1.501,0.337,8.208,-5.0,-6.002,1.351,6.005,4.0,0,0,0,0,0,,,,,,
6741,2003,83.955,47.559,0,340.691,1,5.277,1,,,-6.832,0.0,4.277,-7.588,4.749,2.0,2.138,-3.794,8.096,-4.0,8.553,-15.176,6.011,4.0,0,0,0,0,0,,,,,,
6742,2003,80.883,44.871,0,348.98,1,6.9,1,,,-6.848,0.0,5.748,-6.122,4.741,2.0,2.874,-3.061,8.095,-4.0,11.496,-12.245,6.021,4.0,0,0,0,0,0,,,,,,
6743,2003,75.874,38.582,0,341.918,1,4.307,1,,,-6.847,0.0,6.312,-3.678,4.745,2.0,3.156,-1.839,8.09,-4.0,12.625,-7.357,6.01,4.0,0,0,0,0,0,,,,,,
6745,2003,80.092,26.669,0,357.254,1,3.753,1,,,-6.885,0.0,-5.122,-0.781,4.724,2.0,-2.561,-0.39,8.081,-3.999,-10.244,-1.564,6.031,3.999,0,0,0,0,0,,,,,,
6767,2003,50.375,46.872,0,347.907,1,5.659,,,,-7.075,0.0,6.062,-6.2,4.557,2.0,3.031,-3.1,7.905,-4.0,12.125,-12.401,5.96,4.0,0,0,0,0,0,,,,,,
6787,2003,83.069,54.814,0,328.79,1,3.507,2,,,-7.151,0.0,-0.526,0.232,4.449,2.0,-0.263,0.116,7.764,-4.0,-1.051,0.464,5.841,4.0,0,0,0,1,0,,,,,,
6788,2003,85.308,56.912,0,332.208,1,3.74,,,,-7.144,0.0,0.842,-0.619,4.453,2.0,0.421,-0.309,7.757,-4.0,1.686,-1.238,5.833,4.0,0,0,0,2,0,,,,,,
6795,2003,81.341,47.659,0,342.86,1,3.709,,,,-7.116,0.0,0.208,-0.517,4.464,2.0,0.104,-0.258,7.726,-3.729,0.416,-1.034,5.788,3.393,0,0,0,1,0,,,,,,
6807,2003,79.051,41.454,0,400.321,1,4.01,1,,,-7.061,0.0,5.126,1.63,4.443,2.0,2.563,0.815,7.675,-3.0,10.253,3.259,5.717,3.0,0,0,0,0,0,,,,,,
6808,2003,73.241,45.16,0,413.657,1,4.64,,,,-7.054,0.0,6.784,1.254,4.436,2.0,3.392,0.627,7.668,-3.0,13.568,2.509,5.714,3.0,0,0,0,0,0,,,,,,
6814,2003,82.996,25.249,0,428.363,1,3.838,,,,-7.033,0.0,-1.054,-0.614,4.453,2.0,-0.527,-0.307,7.645,-3.0,-2.109,-1.228,5.684,3.0,0,0,0,0,0,,,,,,
6818,2003,72.039,40.755,0,386.688,1,3.801,,,,-7.022,0.0,-1.804,0.9,4.489,2.0,-0.902,0.45,7.651,-3.0,-3.609,1.801,5.64,3.0,0,1,0,1,0,,,,,,
6838,2003,85.403,14.33,0,429.173,1,4.432,1,,,-6.916,0.0,-0.076,0.366,4.54,2.0,-0.038,0.183,7.551,-2.183,-0.152,0.731,5.51,3.0,0,0,0,0,0,,,,,,
6840,2003,86.324,34.356,0,418.021,1,3.733,,,,-6.905,0.0,0.479,0.081,4.549,2.0,0.239,0.04,7.554,-2.642,0.957,0.161,5.484,3.0,0,0,0,0,0,,,,,,
6841,2003,70.648,61.003,0,400.909,1,4.757,,,,-6.907,0.0,-0.83,-0.348,4.554,2.0,-0.415,-0.174,7.558,-3.0,-1.661,-0.697,5.472,3.0,0,0,0,0,0,,,,,,
6848,2003,74.339,49.813,0,416.628,1,3.451,,,,-6.875,0.0,2.283,1.324,4.566,2.0,1.142,0.662,7.529,-3.0,4.566,2.647,5.427,3.0,0,0,0,0,0,,,,,,
6886,2003,74.552,56.878,0,390.988,1,7.576,1,,,-6.646,0.0,-2.867,-3.432,4.548,2.0,-1.433,-1.716,7.331,-2.904,-5.733,-6.862,5.041,2.904,0,2,0,2,2,,,,,,
6888,2003,71.709,31.87,0,404.122,1,6.125,1,,,-6.627,0.0,6.906,-1.198,4.54,2.0,3.453,-0.599,7.323,-2.041,13.811,-2.396,5.019,2.041,0,2,0,3,2,,,,,,
14049,2003,79.531,27.751,0,439.155,1,3.216,,,,-6.976,0.0,1.631,0.873,4.51,2.0,0.816,0.437,7.428,-2.0,3.262,1.744,5.425,2.0,0,0,0,0,0,,,,,,
14950,2003,58.004,37.939,0,355.441,1,5.425,1,,,-6.785,0.0,7.262,-2.633,4.756,2.0,3.631,-1.316,8.076,-4.0,14.524,-5.267,5.996,4.0,0,0,0,0,0,,,,,,
15031,2003,78.108,47.845,0,326.588,1,3.357,,,,-7.193,0.0,1.261,-1.585,4.416,2.0,0.63,-0.793,7.576,-3.939,2.522,-3.169,5.689,3.783,0,0,0,0,0,,,,,,
15049,2003,61.236,32.617,0,354.332,1,4.935,,,,-7.142,0.0,-3.89,3.119,4.485,2.0,-1.945,1.559,7.55,-3.0,-7.781,6.239,5.609,3.0,0,0,0,0,0,,,,,,
16046,2003,77.672,15.757,0,370.26,1,3.926,5,,,-7.258,0.0,0.267,1.363,4.327,2.0,0.133,0.681,7.615,-3.167,0.535,2.726,5.804,3.103,0,0,0,0,0,,,,,,
16100,2003,86.012,36.27,0,427.013,1,4.227,,,,-7.044,0.0,-5.819,-0.112,4.482,2.0,-2.91,-0.056,7.432,-2.0,-11.637,-0.223,5.47,2.231,0,0,0,0,0,,,,,,
13333,2003,74.639,42.07,0,219.744,1,4.612,,,,-3.517,0.0,1.735,-4.106,5.901,2.0,0.867,-2.053,6.418,-4.611,3.47,-8.211,2.441,3.0,0,0,0,0,0,,,,,,
14009,2003,68.588,44.506,0,335.382,1,3.404,,,,-7.158,0.0,0.773,2.28,4.448,2.0,0.387,1.14,7.589,-3.432,1.547,4.562,5.659,3.0,0,0,0,0,0,,,,,,
14025,2003,87.378,21.863,0,390.54,1,4.469,,,,-7.097,0.0,-1.742,2.833,4.491,2.0,-0.871,1.417,7.521,-3.0,-3.484,5.665,5.592,3.0,0,0,0,1,1,,,,,,
14077,2003,61.242,33.965,0,390.137,1,3.426,1,,,-6.814,0.0,-3.003,0.43,4.527,2.0,-1.501,0.215,7.271,-2.7,-6.006,0.86,5.14,2.7,0,0,0,0,1,,,,,,
15019,2003,78.767,26.713,0,341.377,1,4.424,,,,-7.243,0.0,0.271,-0.693,4.373,2.0,0.136,-0.346,7.616,-3.973,0.542,-1.386,5.788,3.639,0,0,0,0,0,,,,,,
15048,2003,71.715,33.013,0,346.027,1,4.98,,,,-7.146,0.0,-1.351,1.818,4.482,2.0,-0.675,0.909,7.563,-3.0,-2.701,3.637,5.609,3.0,0,0,0,0,0,,,,,,
15067,2003,79.028,47.276,0,430.852,1,4.774,,,,-7.042,0.0,-4.416,-1.268,4.493,2.0,-2.208,-0.634,7.448,-2.0,-8.83,-2.534,5.508,2.493,0,0,0,0,0,,,,,,
15068,2003,75.111,42.326,0,436.032,1,5.008,,,,-7.036,0.0,-2.066,-1.498,4.493,2.0,-1.033,-0.749,7.445,-2.0,-4.132,-2.995,5.501,2.281,0,0,0,0,0,,,,,,
17130,2003,73.784,49.003,0,430.829,1,3.192,1,,,-7.052,0.0,-2.459,-3.614,4.476,2.0,-1.23,-1.807,7.413,-2.0,-4.916,-7.227,5.464,2.0,0,0,0,1,1,,,,,,
33399,2003,,,0,367.135,1,2.8,,,,-6.491,-1.0,,,5.143,2.0,,,8.359,-4.026,,,5.993,4.0,0,0,0,0,0,,,,,,
7952,2003,72.27,62.187,0,366.215,1,3.56,,,,-6.408,0.0,2.776,-2.263,4.555,2.0,1.388,-1.131,7.041,-2.0,5.552,-4.527,4.637,2.0,0,0,0,2,1,,,,,,
18005,2003,79.093,17.806,0,383.616,1,3.647,,,,-6.583,0.0,-1.843,0.107,5.024,2.0,-0.922,0.054,8.335,-4.0,-3.685,0.213,6.097,4.0,0,0,0,0,0,,,,,,
18146,2003,82.321,17.128,0,468.412,1,5.082,,,,-7.108,0.0,-0.465,0.772,4.461,2.0,-0.232,0.386,7.411,-2.0,-0.931,1.544,5.568,2.0,0,0,0,0,0,,,,,,
18987,2003,92.13,20.61,0,343.563,1,2.948,,,,-6.171,-0.86,-3.477,1.848,5.303,2.14,-1.738,0.924,8.62,-4.86,-6.952,3.698,6.105,3.863,0,0,0,1,0,,,,,,
19009,2003,98.227,26.305,0,348.285,1,7.049,,,,-6.369,-0.97,-3.393,2.56,5.202,2.0,-1.696,1.28,8.497,-4.772,-6.786,5.121,6.12,4.0,0,0,0,0,1,,,,,,
19010,2003,69.378,26.339,0,347.783,1,6.802,,,,-6.374,-0.97,-0.607,2.039,5.205,2.0,-0.304,1.02,8.491,-4.68,-1.215,4.077,6.12,4.0,0,0,0,0,0,,,,,,
19011,2003,65.187,34.918,0,349.112,1,5.312,,,,-6.383,-0.97,1.925,-0.564,5.203,2.0,0.962,-0.282,8.488,-4.06,3.851,-1.128,6.121,4.0,0,0,0,0,0,,,,,,
19019,2003,77.93,53.567,0,336.667,1,3.337,,,,-6.469,-1.0,1.473,0.419,5.204,2.0,0.737,0.209,8.439,-4.168,2.947,0.839,6.137,4.0,0,0,0,0,0,,,,,,
19021,2003,64.045,50.732,0,339.717,1,2.803,,,,-6.493,-1.0,-0.715,-3.061,5.177,2.0,-0.358,-1.53,8.426,-4.0,-1.429,-6.124,6.133,4.0,0,0,0,0,0,,,,,,
19025,2003,63.976,35.788,0,363.276,1,3.315,,,,-6.531,-0.701,0.646,6.548,5.116,2.0,0.323,3.274,8.398,-4.0,1.291,13.095,6.119,4.0,0,0,0,0,0,,,,,,
19029,2003,78.65,31.848,0,381.912,1,4.973,,,,-6.564,0.0,-1.992,-2.479,5.059,2.0,-0.996,-1.24,8.36,-4.0,-3.983,-4.96,6.11,4.0,0,0,0,0,0,,,,,,
19036,2003,98.958,26.418,0,360.199,1,4.074,,,,-6.623,-0.287,-1.391,-0.075,4.993,2.0,-0.695,-0.037,8.308,-4.0,-2.783,-0.151,6.067,4.0,0,0,0,0,0,,,,,,
19042,2003,84.001,49.748,0,352.516,1,3.78,,,,-6.676,0.0,-3.015,-0.387,4.937,2.0,-1.508,-0.194,8.242,-4.0,-6.03,-0.774,6.049,4.0,0,0,0,1,0,,,,,,
19059,2003,105.286,29.76,0,328.539,1,4.972,1,,,-6.805,-0.972,-3.6,-0.189,4.8,2.0,-1.8,-0.094,8.069,-4.085,-7.198,-0.378,5.967,4.0,0,0,0,0,0,,,,,,
19060,2003,81.235,37.656,0,332.216,1,3.969,1,,,-6.812,-0.702,-0.047,-1.535,4.786,2.0,-0.023,-0.767,8.058,-4.018,-0.096,-3.07,5.968,4.0,0,0,0,0,0,,,,,,
19061,2003,76.35,42.057,0,352.922,1,4.351,1,,,-6.83,-0.03,0.979,-2.695,4.752,2.0,0.49,-1.347,8.047,-4.0,1.958,-5.389,5.978,4.0,0,0,0,0,0,,,,,,
19063,2003,91.479,39.126,0,345.168,1,6.197,1,,,-6.847,-0.048,5.166,-3.897,4.749,2.0,2.583,-1.948,8.035,-4.0,10.334,-7.795,5.971,4.0,0,0,0,1,0,,,,,,
19069,2003,69.409,29.725,0,358.661,1,5.051,1,,,-6.919,0.0,1.384,0.466,4.702,2.0,0.692,0.233,8.015,-4.0,2.769,0.932,5.989,4.0,0,0,0,1,0,,,,,,
19070,2003,73.405,27.057,0,368.894,1,5.683,1,,,-6.94,0.0,2.502,-0.835,4.685,2.0,1.251,-0.418,8.01,-3.991,5.004,-1.669,6.004,3.991,0,0,0,1,0,,,,,,
19071,2003,73.798,31.922,0,388.055,1,4.279,1,,,-6.963,0.0,4.388,-2.885,4.668,2.0,2.194,-1.443,8.014,-3.97,8.775,-5.77,6.029,3.97,0,0,0,3,1,,,,,,
19099,2003,78.615,25.989,0,365.791,1,3.885,1,,,-7.217,0.0,1.745,-0.483,4.492,2.0,0.872,-0.242,7.768,-3.511,3.488,-0.965,5.967,3.867,0,0,0,0,0,,,,,,
19111,2003,86.603,33.329,0,393.347,1,3.979,1,,,-7.317,0.0,-7.761,0.357,4.332,2.0,-3.881,0.178,7.645,-3.0,-15.523,0.714,5.937,3.0,0,0,0,0,0,,,,,,
19116,2003,78.325,39.1,0,394.044,1,3.643,,,,-7.359,0.0,-1.354,-0.557,4.27,2.0,-0.677,-0.279,7.601,-3.0,-2.708,-1.115,5.918,3.0,0,0,0,0,0,,,,,,
19145,2003,76.58,31.407,0,343.194,1,4.16,1,,,-7.25,0.0,0.434,-0.446,4.376,2.0,0.217,-0.223,7.519,-3.439,0.868,-0.891,5.682,3.085,0,0,0,0,0,,,,,,
19156,2003,70.607,51.034,0,364.6,1,2.942,,,,-7.231,0.0,-0.799,-0.521,4.434,2.0,-0.399,-0.26,7.504,-3.0,-1.6,-1.041,5.66,3.0,0,0,0,0,0,,,,,,
19163,2003,84.767,20.059,0,404.773,1,4.507,,,,-7.192,0.0,0.494,3.163,4.459,2.0,0.247,1.581,7.456,-2.994,0.987,6.325,5.63,3.0,0,0,0,0,0,,,,,,
19174,2003,78.008,16.43,0,478.516,1,5.814,,,,-7.126,0.0,4.227,0.72,4.441,2.0,2.113,0.36,7.39,-2.0,8.453,1.441,5.58,2.0,0,0,0,0,0,,,,,,
19175,2003,86.198,16.257,0,466.939,1,3.981,,,,-7.128,0.0,5.799,2.305,4.447,2.0,2.899,1.153,7.391,-2.0,11.598,4.609,5.571,2.0,0,0,0,0,0,,,,,,
19182,2003,98.875,27.242,0,461.322,1,3.64,,,,-7.098,0.0,-0.156,-0.917,4.458,2.0,-0.078,-0.458,7.387,-2.0,-0.312,-1.835,5.522,2.0,0,0,0,0,0,,,,,,
19194,2003,100.246,26.022,0,452.954,1,4.395,1,,,-7.041,0.0,1.557,-0.304,4.487,2.0,0.778,-0.152,7.337,-2.0,3.114,-0.607,5.422,2.0,0,0,0,0,0,,,,,,
19236,2003,99.889,35.942,0,409.014,1,3.643,,,,-6.792,0.0,-1.915,0.901,4.494,2.0,-0.958,0.45,7.098,-2.0,-3.829,1.802,5.005,2.0,0,1,0,0,1,,,,,,
19316,2003,85.285,23.695,0,322.973,1,4.378,1,,,-6.021,0.0,2.982,-3.568,4.722,2.0,1.491,-1.784,6.639,-3.0,5.964,-7.136,4.164,2.0,0,0,0,2,2,,,,,,
20014,2003,72.101,35.27,0,336.272,1,2.952,,,,-6.163,-0.152,-3.924,5.155,5.299,2.848,-1.962,2.578,8.598,-4.152,-7.847,10.308,6.079,3.637,0,0,0,0,0,,,,,,
20038,2003,76.221,28.044,0,354.445,1,3.998,,,,-6.386,-1.0,-1.841,0.348,5.198,2.0,-0.92,0.174,8.484,-4.212,-3.683,0.696,6.106,4.0,0,0,0,1,2,,,,,,
20039,2003,70.755,38.15,0,355.325,1,3.513,,,,-6.398,-1.0,-1.647,-1.406,5.189,2.0,-0.824,-0.703,8.477,-4.169,-3.293,-2.813,6.115,4.0,0,0,0,1,1,,,,,,
44041,2003,68.649,58.303,0,338.248,1,6.692,1,,,-5.781,0.0,7.333,-6.238,5.033,2.0,3.667,-3.119,6.113,-3.0,14.665,-12.477,3.951,2.0,0,0,0,0,0,,,,,,
44722,2003,73.764,49.194,0,364.265,1,3.024,,,,-6.751,-1.0,1.056,-2.853,4.939,2.0,0.528,-1.426,8.133,-4.319,2.11,-5.707,5.891,4.0,0,0,0,0,0,,,,,,
13335,2003,74.044,41.869,0,227.355,1,3.1,,,,-3.496,0.0,1.405,-3.802,5.926,2.0,0.703,-1.901,6.437,-4.0,2.809,-7.602,2.439,3.0,0,0,0,0,0,,,,,,
44986,2003,62.799,38.53,0,391.847,1,3.302,1,,,-6.886,0.0,4.614,-0.865,4.423,2.0,2.307,-0.433,6.284,-2.168,9.228,-1.729,4.695,2.0,0,1,0,3,2,,,,,,
44987,2003,72.094,50.148,0,382.491,1,3.368,1,,,-6.883,0.0,4.267,-2.528,4.432,2.0,2.134,-1.264,6.29,-2.678,8.536,-5.055,4.686,2.0,0,1,0,3,2,,,,,,
45066,2003,88.619,61.227,0,354.719,1,4.329,,,,-5.836,0.0,0.97,-3.11,5.001,2.0,0.485,-1.555,6.109,-3.0,1.94,-6.22,3.986,2.0,0,0,0,1,0,,,,,,
45067,2003,81.82,53.119,0,345.982,1,5.996,,,,-5.828,0.0,0.772,-1.472,5.007,2.0,0.386,-0.736,6.102,-3.0,1.543,-2.944,3.978,2.0,0,0,0,1,0,,,,,,
45068,2003,83.728,50.698,0,336.594,1,7.797,,,,-5.819,0.0,0.332,-4.222,5.018,2.0,0.166,-2.111,6.094,-3.0,0.664,-8.444,3.971,2.0,0,0,0,1,0,,,,,,
45071,2003,87.409,58.565,0,296.193,1,4.129,,,,-5.785,0.0,-2.423,-1.75,5.047,2.0,-1.212,-0.875,6.075,-3.0,-4.846,-3.501,3.929,2.954,0,0,0,0,0,,,,,,
45076,2003,81.591,25.524,0,347.955,1,5.714,1,,,-5.717,0.0,6.756,-1.327,5.089,2.0,3.378,-0.663,6.088,-3.0,13.511,-2.654,3.92,2.0,0,0,0,0,0,,,,,,
45077,2003,85.893,31.147,0,329.382,1,3.756,1,,,-5.705,0.0,5.255,-2.812,5.098,2.0,2.627,-1.406,6.069,-3.0,10.51,-5.626,3.898,2.22,0,0,0,0,0,,,,,,
45181,2003,79.013,23.693,0,252.771,1,3.946,,,,-4.422,0.0,3.127,1.662,5.844,2.0,1.563,0.831,5.9,-4.106,6.254,3.324,2.982,3.0,0,0,0,1,1,,,,,,
45182,2003,77.261,25.736,0,237.404,1,5.23,,,,-4.409,0.0,6.402,-0.33,5.848,2.0,3.201,-0.165,5.898,-4.832,12.805,-0.66,2.969,3.0,0,0,0,1,1,,,,,,
45183,2003,62.272,38.072,0,235.188,1,5.482,,,,-4.402,0.0,7.657,-3.46,5.852,2.0,3.828,-1.73,5.896,-4.888,15.312,-6.918,2.959,3.0,0,0,0,1,1,,,,,,
45184,2003,60.819,42.629,0,235.505,1,3.663,1,,,-4.388,0.0,4.92,-4.044,5.864,2.0,2.46,-2.022,5.905,-4.992,9.839,-8.089,2.95,3.258,0,0,0,0,0,,,,,,
45202,2003,,,0,183.109,1,4.668,,,,-4.193,-1.0,,,5.942,1.157,,,5.878,-5.0,,,2.767,4.0,0,0,0,2,0,,,,,,
45203,2003,78.877,35.368,0,183.351,1,5.923,1,,,-4.179,-1.0,3.365,-5.607,5.95,1.0,1.683,-2.804,5.885,-5.0,6.73,-11.212,2.755,4.0,0,0,0,1,1,,,,,,
45204,2003,78.122,19.611,0,192.163,1,3.709,1,,,-4.171,-1.0,3.137,-2.143,5.96,1.036,1.569,-1.072,5.9,-5.0,6.275,-4.286,2.761,4.0,0,1,0,2,1,,,,,,
45205,2003,85.352,13.788,0,192.288,1,4.921,1,,,-4.167,-1.0,2.859,-0.613,5.967,1.176,1.429,-0.307,5.902,-5.0,5.718,-1.225,2.755,4.0,0,1,0,2,1,,,,,,
45207,2003,73.121,20.1,0,177.173,1,6.953,1,,,-4.142,-1.0,-0.537,-0.126,5.971,1.0,-0.268,-0.063,5.874,-5.442,-1.074,-0.254,2.724,4.0,0,1,0,1,1,,,,,,
45724,2003,70.491,38.562,0,322.536,1,4.316,1,,,-6.445,0.0,1.425,-1.85,5.063,2.0,0.712,-0.925,8.255,-4.0,2.85,-3.701,5.772,4.0,0,0,0,0,0,,,,,,
45730,2003,83.077,35.307,0,345.668,1,3.658,,,,-6.537,0.0,-7.055,2.426,5.061,2.064,-3.528,1.213,8.242,-4.0,-14.109,4.851,5.832,3.987,0,0,0,0,0,,,,,,
45753,2003,71.312,48.467,0,368.03,1,2.788,1,,,-6.799,-1.0,-0.482,-0.963,4.918,2.0,-0.241,-0.481,8.113,-4.0,-0.965,-1.926,5.896,4.0,0,0,0,0,0,,,,,,
45754,2003,83.396,55.362,0,359.78,1,4.408,1,,,-6.808,-1.0,1.678,-2.837,4.9,2.0,0.839,-1.418,8.101,-4.0,3.357,-5.674,5.885,4.0,0,0,0,0,0,,,,,,
45755,2003,86.536,51.73,0,362.005,1,4.409,1,,,-6.817,-1.0,-1.936,-1.854,4.897,2.0,-0.968,-0.927,8.098,-4.0,-3.873,-3.708,5.886,4.0,0,0,0,0,0,,,,,,
45818,2003,73.699,27.746,0,370.216,1,3.686,,,,-7.495,0.0,2.623,-1.534,4.357,2.0,1.311,-0.767,7.489,-4.0,5.247,-3.068,5.901,4.0,0,0,0,0,0,,,,,,
45835,2003,75.411,16.918,1,343.512,1,5.424,,,,-7.638,0.0,3.055,1.425,4.159,2.0,1.528,0.712,7.322,-4.0,6.11,2.851,5.856,4.0,0,0,0,0,0,,,,,,
45840,2003,80.605,49.805,0,367.787,1,4.443,,,,-7.713,0.0,4.146,-3.217,4.112,2.0,2.073,-1.608,7.274,-4.0,8.293,-6.435,5.892,4.0,0,0,0,0,0,,,,,,
45844,2003,94.565,14.723,0,420.493,1,4.689,,,,-7.781,0.0,2.649,2.466,4.084,2.0,1.325,1.233,7.236,-3.0,5.3,4.934,5.962,3.0,0,0,0,0,0,,,,,,
45873,2003,71.656,30.726,0,351.701,1,5.88,,,,-7.678,0.0,-2.29,3.692,4.188,2.0,-1.145,1.846,7.142,-3.258,-4.58,7.382,5.731,3.0,0,0,0,0,0,,,,,,
45874,2003,68.819,29.555,0,353.399,1,4.106,,,,-7.672,0.0,-1.964,5.582,4.188,2.0,-0.982,2.791,7.134,-3.548,-3.929,11.163,5.725,3.0,0,0,0,0,1,,,,,,
45885,2003,82.984,35.024,1,362.584,1,3.852,1,,,-7.617,0.0,1.692,0.913,4.212,2.0,0.846,0.457,7.088,-3.452,3.384,1.825,5.66,3.096,0,0,0,0,0,,,,,,
45922,2003,,,0,322.949,1,2.752,,,,-7.462,0.0,,,4.271,2.0,,,6.876,-3.0,,,5.385,3.0,0,0,0,1,0,,,,,,
45959,2003,88.897,53.953,0,429.735,1,3.036,,,,-7.291,0.0,-6.461,-2.261,4.343,2.0,-3.23,-1.13,6.694,-2.0,-12.924,-4.523,5.21,2.0,0,0,0,0,0,,,,,,
45991,2003,81.708,35.098,0,414.776,1,4.288,,,,-7.102,0.0,0.375,-0.06,4.362,2.0,0.187,-0.03,6.486,-2.0,0.751,-0.12,4.935,2.0,0,0,0,0,0,,,,,,
46077,2003,72.451,32.683,0,320.166,1,3.83,,,,-6.079,0.0,1.002,2.001,4.879,2.0,0.501,1.0,6.114,-3.0,2.002,4.002,4.124,2.466,0,0,0,0,0,,,,,,
46096,2003,81.223,44.906,0,326.441,1,6.502,,,,-5.841,0.0,0.741,-3.371,5.016,2.0,0.37,-1.686,6.082,-3.0,1.483,-6.741,3.974,2.127,0,0,0,1,0,,,,,,
46098,2003,82.237,52.468,0,303.194,1,6.775,,,,-5.821,0.0,2.906,-2.216,5.032,2.0,1.453,-1.108,6.066,-3.0,5.811,-4.431,3.95,2.975,0,0,0,0,0,,,,,,
46099,2003,86.992,63.374,0,289.915,1,6.016,,,,-5.806,0.0,1.416,-0.422,5.042,2.0,0.708,-0.211,6.055,-3.0,2.834,-0.846,3.931,3.0,0,0,0,0,0,,,,,,
46101,2003,82.72,37.232,0,326.277,1,3.605,,,,-5.776,0.0,0.523,2.496,5.06,2.0,0.262,1.248,6.063,-3.0,1.045,4.991,3.935,2.386,0,0,0,0,0,,,,,,
46102,2003,77.33,33.496,0,352.83,1,6.03,,,,-5.763,0.0,1.858,-1.245,5.066,2.0,0.929,-0.623,6.076,-3.0,3.716,-2.49,3.947,2.0,0,0,0,0,0,,,,,,
42672,2003,93.316,45.128,0,363.005,1,5.686,,,,-6.794,-1.0,-1.182,0.98,4.911,2.0,-0.591,0.49,8.122,-4.0,-2.364,1.96,5.907,4.0,0,0,0,0,0,,,,,,
20057,2003,68.2,35.981,0,378.025,1,3.632,,,,-6.573,0.0,-4.296,-0.861,5.057,2.0,-2.148,-0.43,8.354,-4.0,-8.593,-1.723,6.099,4.0,0,0,0,0,0,,,,,,
