pix,year,for_age_2003,for_con_2003,for_pro,elev,p1_trend,p1_trend_slope,trend_20yrs,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,fire,harv,insc,gfc,canlad,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos
143465,2003,86.431,63.997,0,412.645,1,3.631,,,,-8.562,0.0,-1.862,-2.203,3.794,2.0,-0.931,-1.102,6.486,-3.0,-3.725,-4.405,5.591,3.0,0,0,1,0,0,,,,,,
143490,2003,91.688,28.01,1,441.969,1,3.328,,,,-8.96,0.0,-5.3,2.238,3.479,1.0,-2.65,1.119,6.131,-4.0,-10.599,4.475,5.787,4.0,0,0,0,0,0,,,,,,
143507,2003,73.868,58.613,1,418.08,1,3.58,,,,-9.13,-0.41,8.847,-2.991,3.219,1.0,4.424,-1.495,5.832,-4.0,17.692,-5.982,5.813,4.0,0,0,0,0,0,,,,,,
143515,2003,75.414,42.199,1,436.652,1,3.901,,,,-9.142,0.0,-1.121,-0.401,3.271,1.0,-0.56,-0.2,5.813,-4.0,-2.24,-0.8,5.843,4.0,0,0,0,0,0,,,,,,
143518,2003,77.007,42.869,1,430.944,1,4.438,,,,-9.141,0.0,4.604,-1.879,3.294,1.0,2.302,-0.939,5.802,-4.0,9.209,-3.758,5.845,4.0,0,0,0,0,0,,,,,,
56371,2003,71.156,24.535,0,350.103,1,3.306,1,,,-6.091,0.0,8.244,-0.017,4.942,2.0,4.122,-0.008,5.938,-3.0,16.487,-0.036,4.126,2.245,0,0,0,0,0,,,,,,
54142,2003,64.321,27.526,1,329.094,1,3.563,,,,-7.561,0.0,9.497,0.39,4.156,2.0,4.749,0.195,6.714,-3.305,18.994,0.779,5.382,3.0,0,0,0,0,0,,,,,,
46877,2003,66.939,14.708,0,392.389,1,4.275,,,,-7.779,0.0,1.011,1.008,4.081,2.0,0.506,0.504,7.209,-3.03,2.021,2.015,5.902,3.03,0,0,0,0,0,,,,,,
76940,2003,75.554,25.862,0,306.25,1,3.246,,,,-6.381,0.0,2.796,0.579,4.961,2.0,1.398,0.29,5.527,-3.0,5.592,1.158,4.229,3.0,0,0,0,0,0,,,,,,
45746,2003,84.011,33.673,0,380.071,1,3.299,,,,-6.725,-1.0,-4.178,-1.323,5.007,2.0,-2.089,-0.662,8.178,-4.0,-8.356,-2.646,5.905,4.0,0,0,0,0,0,,,,,,
