pix,year,for_age_2018,for_con_2018,for_pro,elev,p4_trend,p4_trend_slope,trend_20yrs,gfc_tsince,gfc_wsum,gfc_csum,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,deltap_for_age_lag3,deltap_for_con_lag3,deltap_cmi_sm_lag3,deltap_dd5_wt_lag3,avg_for_age,avg_for_con,avg_cmi_sm,avg_dd5_wt,min_cmi_sm,min_dd5_wt,max_cmi_sm,max_dd5_wt,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,deltap_for_age_lag2,deltap_for_con_lag2,deltap_cmi_sm_lag2,deltap_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,deltap_for_age_lag1,deltap_for_con_lag1,deltap_cmi_sm_lag1,deltap_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,deltap_for_age,deltap_for_con,deltap_cmi_sm,deltap_dd5_wt,fire,harv,insc,gfc,canlad,abio,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos,cmi_sm_nrange,dd5_wt_nrange,min_cmi_sm_rel,max_cmi_sm_rel,min_dd5_wt_rel,max_dd5_wt_rel,map_nrange,mat_nrange,min_map_rel,max_map_rel,min_mat_rel,max_mat_rel,cmi_sm_cv,dd5_wt_cv,cmi_sm_cqv,dd5_wt_cqv,cmi_sm_nrange30,min_cmi_sm_rel30,max_cmi_sm_rel30,dd5_wt_nrange30,min_dd5_wt_rel30,max_dd5_wt_rel30,map_nrange30,min_map_rel30,max_map_rel30,mat_nrange30,min_mat_rel30,max_mat_rel30,cmi_sm_nrange30_reg,min_cmi_sm_rel30_reg,max_cmi_sm_rel30_reg,dd5_wt_nrange30_reg,min_dd5_wt_rel30_reg,max_dd5_wt_rel30_reg,map_nrange30_reg,min_map_rel30_reg,max_map_rel30_reg,mat_nrange30_reg,min_mat_rel30_reg,max_mat_rel30_reg,cmi_sm_rel30,dd5_wt_rel30,cmi_sm_rel30_reg,dd5_wt_rel30_reg,cmi_sm_rel30p_reg,dd5_wt_rel30p_reg
241192,2018,103.604,67.471,1,451.051,2,-3.7,5,2,28.0,56,8.03,7.421,2.148,0.0,8.402,12.358,-54.81,0.0,107.62,71.182,0.602,5.5,-2.791,5.0,3.599,6.0,5.353,4.947,2.58,-10.658,5.448,7.912,-59.297,-0.681,2.676,2.473,-11.687,-2.0,2.651,3.805,-117.86,-0.286,8.031,7.422,5.141,1.0,7.752,11.0,-290.288,20.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,10.615,0.182,-4.636,5.978,0.909,1.091,0.207,0.559,0.908,1.115,0.696,1.255,-4.827,0.091,3.892,0.091,6.678,-2.917,3.761,0.25,1.25,1.5,0.227,0.996,1.222,0.732,0.912,1.644,2.931,-1.28,1.651,0.267,1.333,1.6,0.237,1.042,1.279,0.678,0.844,1.522,1.558906497478485,1.5,2.782,1.75,127.615,46.667
352330,2018,80.787,14.477,0,442.72,2,-3.32,,0,0.0,1,2.363,-13.987,0.945,-1.0,3.013,-49.139,-87.419,-0.167,81.969,8.052,1.854,6.0,-1.744,5.0,5.241,7.0,1.575,-9.324,4.522,-11.027,1.988,-39.175,-97.08,-0.688,0.787,-4.662,-9.957,-2.0,0.984,-24.359,-101.385,-0.286,2.363,-11.711,4.192,2.0,2.925,-80.894,-3082.353,40.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,3.768,0.333,-0.941,2.827,0.833,1.167,0.188,0.548,0.913,1.101,0.695,1.243,-1.554,0.118,1.282,0.042,4.421,-1.104,3.317,0.5,1.25,1.75,0.223,1.084,1.307,0.704,0.892,1.596,3.204,-0.8,2.404,0.533,1.333,1.867,0.225,1.092,1.317,0.687,0.871,1.558,3.43406763458252,2.0,4.034,2.25,185.046,60.0
371059,2018,75.716,17.436,0,352.605,2,-4.822,1,0,0.0,1,-11.168,1.828,-0.227,-0.345,-12.854,11.712,102.715,-0.057,70.133,18.406,-0.481,6.514,-5.403,5.655,4.619,7.4,-7.445,1.219,5.733,-14.254,-8.953,7.517,-92.752,-0.716,-3.723,0.609,-11.487,-2.345,-4.687,3.619,-104.058,-0.293,-11.167,2.05,-0.244,1.745,-14.749,11.757,54.464,30.858,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-20.836,0.268,11.233,-9.603,0.868,1.136,0.178,0.507,0.906,1.084,0.722,1.229,7.37,0.109,-2.559,0.091,2.485,-1.339,1.145,0.375,1.215,1.59,0.226,1.15,1.376,0.64,0.913,1.553,4.597,-2.478,2.119,0.465,1.508,1.973,0.211,1.072,1.282,0.725,1.034,1.759,3.5526794853210397,1.8593555107116702,1.699,2.764,77.936,73.707
191216,2018,131.086,18.756,0,,2,-5.198,1,2,18.0,36,19.078,2.954,,,17.033,18.694,,,140.625,20.232,,,,,,,12.719,1.969,,,10.745,11.729,,,6.359,0.985,,,5.098,5.543,,,19.078,2.953,,,14.554,15.744,,,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202330,2018,70.021,96.238,0,390.928,2,-4.503,,1,23.0,23,-7.657,10.632,-0.376,-1.0,-9.857,12.42,11.059,-0.2,66.193,99.005,-2.511,4.75,-6.513,4.0,2.237,5.0,-5.105,7.088,1.736,-10.0,-6.795,7.951,-31.495,-0.714,-2.552,3.544,-13.872,-2.0,-3.516,3.823,-137.401,-0.333,-7.656,3.762,1.786,1.0,-10.934,3.909,-47.299,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-3.485,0.211,2.594,-0.891,0.842,1.053,0.202,0.593,0.892,1.094,0.678,1.271,1.266,0.091,-0.654,0.026,4.154,-3.092,1.062,0.333,1.333,1.667,0.222,0.98,1.202,0.782,0.895,1.677,4.014,-2.988,1.026,0.267,1.067,1.333,0.214,0.946,1.16,0.714,0.817,1.53,-0.40473612403869996,1.75,-0.331,1.0,-15.183,26.667
207584,2018,71.696,48.408,0,295.752,2,-4.542,,2,24.0,48,-7.957,11.982,-1.482,0.0,-9.99,32.894,40.459,0.0,67.718,54.399,-4.669,5.5,-8.729,5.0,0.454,6.0,-5.305,7.988,2.333,-12.0,-6.89,19.762,-31.198,-0.706,-2.653,3.994,-14.453,-2.0,-3.568,8.993,-155.275,-0.286,-7.956,11.982,-0.113,1.0,-11.097,24.752,2.196,20.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.967,0.182,1.87,-0.097,0.909,1.091,0.21,0.538,0.881,1.091,0.711,1.249,0.705,0.091,-0.241,0.091,2.199,-2.09,0.109,0.25,1.25,1.5,0.237,0.991,1.228,0.688,0.909,1.598,4.212,-4.004,0.208,0.267,1.333,1.6,0.22,0.921,1.141,0.745,0.985,1.73,-0.4928205909729,1.5,-2.489,1.75,-114.174,46.667
204412,2018,85.988,81.434,0,471.02,2,-3.256,,2,13.167,28,-0.359,13.553,-0.494,-1.0,-0.416,19.966,27.552,-0.2,85.808,87.505,-1.223,4.5,-5.407,4.0,3.783,5.0,-0.239,9.036,1.933,-8.044,-0.277,12.481,-45.806,-0.668,-0.119,4.518,-14.177,-2.0,-0.138,5.874,-119.235,-0.333,-0.36,10.733,1.305,1.0,-0.419,13.18,-57.062,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-7.514,0.222,4.421,-3.093,0.889,1.111,0.202,0.656,0.89,1.092,0.645,1.301,2.704,0.111,-1.146,0.111,9.347,-5.499,3.848,0.333,1.333,1.667,0.224,0.984,1.208,0.886,0.871,1.758,4.216,-2.48,1.735,0.267,1.067,1.333,0.22,0.97,1.19,0.725,0.713,1.438,-0.23980469512939506,1.5,0.957,0.75,43.899,20.0
226160,2018,126.492,38.701,0,299.823,2,-4.687,1,2,26.5,53,11.652,5.79,-1.757,-1.0,10.146,17.593,62.217,-0.167,132.318,41.596,-4.71,5.852,-9.075,5.0,0.371,7.0,7.768,3.86,3.08,-13.406,6.543,11.079,-40.204,-0.728,3.884,1.93,-14.553,-2.0,3.168,5.249,-145.939,-0.286,11.652,5.79,-0.972,2.0,9.212,14.961,21.218,40.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-2.006,0.342,1.927,-0.079,0.854,1.196,0.212,0.513,0.878,1.09,0.725,1.238,0.717,0.15,-0.316,0.135,1.976,-1.898,0.078,0.5,1.25,1.75,0.245,1.013,1.258,0.643,0.909,1.551,4.333,-4.163,0.17,0.533,1.333,1.867,0.228,0.942,1.169,0.743,1.05,1.793,0.07036689758300962,1.8520000000000003,-2.53,2.102,-116.055,56.053
257860,2018,,,0,386.529,2,-4.748,1,0,0.0,0,,,-0.243,-0.103,,,10.616,-0.021,,,-1.401,5.224,-5.484,4.897,3.222,6.0,,,2.964,-10.103,,,-53.93,-0.674,,,-12.817,-1.103,,,-124.618,-0.184,,,1.723,1.103,,,-68.049,22.524,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,-6.214,0.211,3.914,-2.3,0.937,1.149,0.195,0.579,0.898,1.093,0.686,1.264,2.248,0.086,-1.13,0.027,3.696,-2.328,1.368,0.276,1.224,1.5,0.223,1.029,1.252,0.752,0.891,1.644,3.994,-2.516,1.478,0.294,1.306,1.6,0.214,0.986,1.199,0.712,0.844,1.557,0.9547579517364502,1.2240000000000002,0.779,1.474,35.734,39.307
211682,2018,79.651,75.453,0,249.609,2,-4.079,5,2,5.333,15,-2.112,10.822,-1.372,-1.0,-2.583,16.744,31.21,-0.167,78.596,80.806,-5.202,5.644,-9.209,5.0,-0.163,6.577,-1.408,7.214,2.321,-13.0,-1.737,10.572,-28.693,-0.722,-0.704,3.607,-14.164,-2.0,-0.876,5.02,-168.699,-0.286,-2.111,10.589,0.099,1.577,-2.65,14.034,-1.716,31.54,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.739,0.279,1.77,0.031,0.886,1.165,0.208,0.517,0.883,1.091,0.722,1.239,0.623,0.12,-0.214,0.103,1.908,-1.942,-0.034,0.394,1.25,1.644,0.234,0.994,1.228,0.651,0.91,1.561,4.15,-4.224,-0.075,0.421,1.333,1.754,0.214,0.91,1.124,0.739,1.032,1.771,-0.4608000297546395,1.6440000000000001,-3.022,1.894,-138.624,50.507
