pix,year,for_age_2018,for_con_2018,for_pro,elev,p4_trend,p4_trend_slope,trend_20yrs,gfc_tsince,gfc_wsum,gfc_csum,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,deltap_for_age_lag3,deltap_for_con_lag3,deltap_cmi_sm_lag3,deltap_dd5_wt_lag3,avg_for_age,avg_for_con,avg_cmi_sm,avg_dd5_wt,min_cmi_sm,min_dd5_wt,max_cmi_sm,max_dd5_wt,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,deltap_for_age_lag2,deltap_for_con_lag2,deltap_cmi_sm_lag2,deltap_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,deltap_for_age_lag1,deltap_for_con_lag1,deltap_cmi_sm_lag1,deltap_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,deltap_for_age,deltap_for_con,deltap_cmi_sm,deltap_dd5_wt,fire,harv,insc,gfc,canlad,abio,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos,cmi_sm_nrange,dd5_wt_nrange,min_cmi_sm_rel,max_cmi_sm_rel,min_dd5_wt_rel,max_dd5_wt_rel,map_nrange,mat_nrange,min_map_rel,max_map_rel,min_mat_rel,max_mat_rel,cmi_sm_cv,dd5_wt_cv,cmi_sm_cqv,dd5_wt_cqv,cmi_sm_nrange30,min_cmi_sm_rel30,max_cmi_sm_rel30,dd5_wt_nrange30,min_dd5_wt_rel30,max_dd5_wt_rel30,map_nrange30,min_map_rel30,max_map_rel30,mat_nrange30,min_mat_rel30,max_mat_rel30,cmi_sm_nrange30_reg,min_cmi_sm_rel30_reg,max_cmi_sm_rel30_reg,dd5_wt_nrange30_reg,min_dd5_wt_rel30_reg,max_dd5_wt_rel30_reg,map_nrange30_reg,min_map_rel30_reg,max_map_rel30_reg,mat_nrange30_reg,min_mat_rel30_reg,max_mat_rel30_reg,cmi_sm_rel30,dd5_wt_rel30,cmi_sm_rel30_reg,dd5_wt_rel30_reg,cmi_sm_rel30p_reg,dd5_wt_rel30p_reg
8085,2018,78.006,97.46,0,253.757,2,-11.394,,2,28.0,56,-1.836,7.593,-1.999,0.0,-2.3,8.449,28.984,0.0,77.088,99.363,-8.044,4.5,-12.503,4.0,-3.14,5.0,-1.224,5.062,-0.11,-9.0,-1.545,5.478,1.252,-0.692,-0.612,2.531,-15.751,-2.0,-0.778,2.666,-229.774,-0.333,-1.836,2.54,1.261,1.0,-2.354,2.606,-14.175,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.164,0.222,1.554,0.39,0.889,1.111,0.191,0.568,0.875,1.067,0.703,1.271,0.416,0.111,-0.202,0.111,2.747,-3.668,-0.921,0.333,1.333,1.667,0.188,0.858,1.045,0.742,0.919,1.661,4.295,-5.735,-1.44,0.267,1.067,1.333,0.176,0.807,0.983,0.725,0.897,1.622,-4.63556823158264,1.5,-5.864,0.75,-268.991,20.0
8087,2018,80.08,92.611,0,251.663,2,-12.288,1,1,31.333,53,-3.814,10.623,-2.024,0.0,-4.546,12.957,29.338,0.0,78.173,96.058,-8.079,4.5,-12.531,4.0,-3.176,5.0,-2.543,7.082,-0.101,-9.0,-3.078,8.28,1.145,-0.692,-1.271,3.541,-15.745,-2.0,-1.562,3.976,-230.797,-0.333,-3.815,5.57,1.237,1.0,-4.764,6.014,-13.863,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.158,0.222,1.551,0.393,0.889,1.111,0.192,0.568,0.875,1.067,0.704,1.272,0.414,0.111,-0.199,0.111,2.716,-3.637,-0.922,0.333,1.333,1.667,0.188,0.858,1.046,0.744,0.922,1.666,4.291,-5.748,-1.457,0.267,1.067,1.333,0.177,0.806,0.983,0.726,0.9,1.626,-4.6340365447998,1.5,-5.899,0.75,-270.596,20.0
8089,2018,77.238,96.314,0,252.99,2,-8.924,,1,30.167,55,-6.961,11.031,-2.05,0.0,-8.267,12.935,29.901,0.0,73.757,99.076,-8.068,4.5,-12.515,4.0,-3.161,5.0,-4.64,7.354,-0.093,-9.0,-5.667,8.267,1.055,-0.692,-2.32,3.677,-15.745,-2.0,-2.916,3.969,-230.224,-0.333,-6.962,3.686,1.215,1.0,-9.014,3.827,-13.642,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.159,0.222,1.551,0.392,0.889,1.111,0.192,0.576,0.875,1.067,0.701,1.278,0.414,0.111,-0.199,0.111,2.725,-3.645,-0.921,0.333,1.333,1.667,0.188,0.857,1.045,0.755,0.919,1.674,4.291,-5.741,-1.45,0.267,1.067,1.333,0.177,0.806,0.983,0.737,0.897,1.635,-4.634720724105829,1.5,-5.888,0.75,-270.092,20.0
9109,2018,82.89,93.712,0,248.672,2,-4.705,,1,23.0,43,-0.281,10.678,-1.95,0.0,-0.338,12.86,27.794,0.0,82.749,97.458,-8.093,4.5,-12.562,4.0,-3.202,5.0,-0.187,7.119,-0.126,-9.0,-0.225,8.221,1.425,-0.692,-0.093,3.559,-15.73,-1.829,-0.112,3.948,-232.555,-0.314,-0.282,6.288,1.324,1.0,-0.34,6.71,-14.767,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.157,0.222,1.552,0.396,0.889,1.111,0.19,0.572,0.876,1.067,0.703,1.276,0.414,0.111,-0.203,0.111,2.692,-3.613,-0.921,0.333,1.333,1.667,0.187,0.859,1.046,0.752,0.925,1.677,4.294,-5.762,-1.469,0.267,1.067,1.333,0.176,0.808,0.984,0.73,0.897,1.627,-4.615809982299799,1.5,-5.913,0.75,-271.239,20.0
9115,2018,67.995,95.333,0,250.378,2,-5.415,,1,13.833,34,-6.705,8.68,-2.018,0.0,-8.976,10.017,29.196,0.0,64.643,97.846,-8.085,4.5,-12.53,4.0,-3.185,5.0,-4.47,5.787,-0.092,-9.0,-6.168,6.463,1.041,-0.692,-2.235,2.893,-15.733,-2.0,-3.182,3.13,-231.266,-0.333,-6.705,3.794,1.236,1.0,-9.861,3.98,-13.841,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.156,0.222,1.55,0.394,0.889,1.111,0.192,0.568,0.875,1.067,0.706,1.274,0.413,0.111,-0.199,0.111,2.69,-3.607,-0.917,0.333,1.333,1.667,0.188,0.858,1.047,0.745,0.926,1.672,4.287,-5.748,-1.461,0.267,1.067,1.333,0.177,0.807,0.983,0.727,0.904,1.632,-4.611656866073611,1.5,-5.905,0.75,-270.872,20.0
9117,2018,73.431,96.097,0,253.296,2,-4.85,,2,8.0,17,-8.418,11.013,-2.044,0.0,-10.285,12.944,29.848,0.0,69.222,98.952,-8.054,4.5,-12.496,4.0,-3.149,5.0,-5.612,7.342,-0.083,-9.0,-7.1,8.272,0.942,-0.692,-2.806,3.671,-15.738,-2.0,-3.681,3.972,-229.886,-0.333,-8.418,3.895,1.214,1.0,-11.464,4.053,-13.653,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.161,0.222,1.552,0.391,0.889,1.111,0.192,0.571,0.875,1.067,0.704,1.275,0.415,0.111,-0.199,0.111,2.715,-3.63,-0.915,0.333,1.333,1.667,0.188,0.858,1.046,0.749,0.922,1.671,4.288,-5.732,-1.444,0.267,1.067,1.333,0.177,0.807,0.984,0.731,0.9,1.631,-4.61146126174927,1.5,-5.874,0.75,-269.45,20.0
9114,2018,71.568,95.049,0,248.179,2,-2.885,,2,15.5,32,-5.655,7.585,-2.012,0.0,-7.323,8.672,28.95,0.0,68.741,97.405,-8.111,4.5,-12.559,4.0,-3.212,5.0,-3.77,5.057,-0.097,-9.0,-5.004,5.619,1.094,-0.692,-1.885,2.529,-15.736,-2.0,-2.566,2.733,-232.3,-0.333,-5.655,3.744,1.253,1.0,-7.902,3.939,-13.981,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.152,0.222,1.548,0.396,0.889,1.111,0.192,0.561,0.875,1.067,0.71,1.271,0.412,0.111,-0.199,0.111,2.676,-3.595,-0.919,0.333,1.333,1.667,0.188,0.858,1.046,0.737,0.931,1.668,4.288,-5.761,-1.473,0.267,1.067,1.333,0.177,0.806,0.983,0.719,0.909,1.628,-4.61756366348267,1.5,-5.931,0.75,-272.064,20.0
211686,2018,85.129,60.633,0,279.646,2,-8.359,,2,27.5,55,-6.829,-0.717,-1.397,-0.406,-7.426,-1.169,35.145,-0.075,81.714,60.275,-4.823,5.5,-8.857,5.0,0.252,6.0,-4.552,-0.478,2.353,-12.193,-5.076,-0.782,-30.46,-0.709,-2.276,-0.239,-14.271,-2.0,-2.604,-0.393,-160.366,-0.286,-6.829,-0.717,0.055,1.0,-8.022,-1.183,-1.024,20.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.889,0.182,1.836,-0.052,0.909,1.091,0.209,0.527,0.882,1.091,0.723,1.249,0.676,0.091,-0.228,0.091,2.072,-2.015,0.057,0.25,1.25,1.5,0.235,0.994,1.23,0.674,0.924,1.598,4.178,-4.063,0.116,0.267,1.333,1.6,0.217,0.918,1.135,0.739,1.013,1.752,-0.4272537689209006,1.5,-2.643,1.75,-121.239,46.667
212717,2018,78.114,60.294,0,251.691,2,-5.284,,2,13.167,27,-3.408,11.38,-1.428,-1.0,-4.18,23.265,33.823,-0.167,76.411,65.983,-5.123,5.617,-9.144,5.0,-0.064,6.469,-2.272,7.587,2.378,-13.0,-2.826,14.395,-29.621,-0.722,-1.136,3.793,-14.219,-2.0,-1.433,6.713,-165.935,-0.286,-3.407,11.379,0.015,1.469,-4.362,18.873,-0.265,29.38,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.772,0.262,1.785,0.012,0.89,1.152,0.208,0.518,0.882,1.091,0.722,1.24,0.635,0.114,-0.212,0.1,1.935,-1.948,-0.014,0.367,1.25,1.617,0.235,0.996,1.231,0.654,0.913,1.567,4.165,-4.194,-0.029,0.392,1.333,1.725,0.215,0.912,1.127,0.739,1.031,1.77,-0.4301322441101103,1.617,-2.943,1.867,-135.0,49.787
9843,2018,84.652,85.293,0,332.211,2,-3.636,,16,0.25,4,0.49,7.592,2.009,-1.0,0.582,9.771,-23.552,-0.2,84.898,89.052,-3.683,4.5,-8.68,4.0,0.434,5.0,0.327,5.061,-1.268,-11.703,0.388,6.308,24.139,-0.745,0.163,2.531,-15.579,-2.448,0.193,3.058,-171.992,-0.38,0.491,7.445,6.556,1.0,0.58,8.729,-100.537,25.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,-2.475,0.222,2.357,-0.118,0.889,1.111,0.159,0.531,0.921,1.08,0.72,1.251,1.084,0.111,-1.039,0.111,12.354,-11.765,0.588,0.333,1.333,1.667,0.158,0.913,1.07,0.696,0.943,1.639,4.181,-3.982,0.199,0.267,1.067,1.333,0.159,0.921,1.08,0.661,0.896,1.557,-2.945249231338501,1.5,-1.503,0.75,-68.945,20.0
10011,2018,82.32,95.035,0,371.849,2,-6.874,,2,17.0,34,-8.109,14.781,-0.212,0.0,-8.967,18.418,3.027,0.0,78.266,98.749,-5.716,4.0,-10.665,4.0,-0.961,4.0,-5.406,9.854,-0.727,-8.0,-6.162,11.568,11.204,-0.667,-2.703,4.927,-15.829,-1.0,-3.179,5.468,-183.78,-0.2,-8.109,4.965,3.195,0.0,-9.851,5.224,-44.277,0.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.698,0.0,1.866,0.168,1.0,1.0,0.169,0.625,0.896,1.065,0.675,1.3,0.632,0.0,-0.425,0.0,7.484,-8.225,-0.741,0.0,1.333,1.333,0.165,0.877,1.042,0.842,0.909,1.751,4.451,-4.892,-0.441,0.0,1.067,1.067,0.163,0.868,1.032,0.71,0.767,1.477,-4.41940871810913,1.0,-3.536,0.25,-162.202,6.667
10137,2018,76.916,96.104,0,260.348,2,-7.66,,1,19.5,37,7.09,10.892,-1.932,0.0,10.154,12.782,28.143,0.0,80.461,98.944,-7.929,4.5,-12.406,4.0,-3.027,5.0,4.726,7.261,-0.113,-9.0,6.547,8.173,1.301,-0.692,2.363,3.631,-15.733,-1.441,3.17,3.927,-226.831,-0.265,7.09,3.896,1.31,1.0,9.218,4.054,-14.891,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.183,0.222,1.565,0.382,0.889,1.111,0.191,0.563,0.877,1.067,0.709,1.272,0.423,0.111,-0.207,0.111,2.81,-3.717,-0.907,0.333,1.333,1.667,0.187,0.86,1.047,0.746,0.939,1.685,4.302,-5.691,-1.389,0.267,1.067,1.333,0.176,0.811,0.987,0.712,0.897,1.61,-4.59147844696045,1.5,-5.749,0.75,-263.716,20.0
10142,2018,69.864,92.513,0,258.437,2,-6.007,,1,28.0,51,-5.747,10.853,-1.996,0.0,-7.601,13.29,29.284,0.0,66.99,96.777,-7.964,4.5,-12.42,4.0,-3.056,5.0,-3.831,7.235,-0.085,-9.0,-5.198,8.484,0.974,-0.692,-1.915,3.617,-15.735,-1.869,-2.668,4.069,-227.286,-0.318,-5.747,7.487,1.242,1.0,-8.226,8.093,-14.094,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.176,0.222,1.56,0.384,0.889,1.111,0.192,0.564,0.875,1.067,0.705,1.269,0.42,0.111,-0.203,0.111,2.775,-3.681,-0.906,0.333,1.333,1.667,0.189,0.859,1.047,0.742,0.927,1.669,4.295,-5.697,-1.402,0.267,1.067,1.333,0.177,0.808,0.986,0.717,0.897,1.615,-4.58952642822266,1.5,-5.784,0.75,-265.321,20.0
11038,2018,79.34,90.408,0,357.755,2,-3.647,,2,25.5,51,-8.157,14.29,-0.213,0.0,-9.323,18.773,2.98,0.0,75.262,95.924,-5.842,4.0,-10.786,4.0,-1.096,4.0,-5.438,9.526,-0.732,-8.0,-6.414,11.778,11.042,-0.667,-2.719,4.763,-15.801,-1.0,-3.313,5.561,-187.216,-0.2,-8.157,9.436,3.237,0.0,-10.281,10.437,-43.975,0.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.659,0.0,1.846,0.188,1.0,1.0,0.168,0.605,0.897,1.065,0.682,1.287,0.618,0.0,-0.419,0.0,6.681,-7.436,-0.756,0.0,1.333,1.333,0.165,0.878,1.043,0.822,0.928,1.75,4.445,-4.948,-0.503,0.0,1.067,1.067,0.163,0.867,1.029,0.694,0.783,1.478,-4.3915649576187095,1.0,-3.662,0.25,-167.982,6.667
11165,2018,81.996,94.857,0,255.549,2,-3.301,,2,1.0,2,2.256,10.479,-1.931,0.0,2.829,12.419,27.933,0.0,83.124,98.297,-7.974,4.5,-12.446,4.0,-3.079,5.0,1.504,6.986,-0.104,-9.0,1.869,7.95,1.19,-0.692,0.752,3.493,-15.716,-1.658,0.926,3.823,-228.696,-0.293,2.256,5.143,1.315,1.0,2.751,5.422,-14.869,25.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.175,0.222,1.561,0.386,0.889,1.111,0.19,0.568,0.877,1.067,0.706,1.274,0.42,0.111,-0.206,0.111,2.754,-3.66,-0.905,0.333,1.333,1.667,0.187,0.861,1.048,0.751,0.932,1.683,4.297,-5.709,-1.412,0.267,1.067,1.333,0.176,0.811,0.987,0.723,0.897,1.62,-4.57304909133911,1.5,-5.794,0.75,-265.78,20.0
353646,2018,74.442,64.241,0,,2,-4.381,1,0,0.0,0,0.727,16.061,,,0.986,33.335,,,74.806,72.271,,,,,,,0.485,10.708,,,0.656,20.003,,,0.242,5.354,,,0.326,9.092,,,0.727,16.061,,,0.977,25.001,,,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354674,2018,76.121,61.583,0,,2,-4.509,,0,0.0,0,2.007,11.267,,,2.708,22.392,,,77.125,67.159,,,,,,,1.338,7.512,,,1.789,13.893,,,0.669,3.756,,,0.887,6.495,,,2.007,11.037,,,2.637,17.922,,,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14112,2018,75.889,65.776,0,372.239,2,-7.874,,1,11.833,19,-2.635,14.483,-0.024,0.0,-3.356,28.236,0.346,0.0,74.572,72.627,-5.384,4.0,-10.357,4.0,-0.649,4.0,-1.757,9.655,-0.72,-8.0,-2.263,17.204,11.527,-0.667,-0.878,4.827,-15.759,-1.0,-1.144,7.92,-179.222,-0.2,-2.635,12.997,3.402,0.0,-3.472,19.759,-48.837,0.0,,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,-1.803,0.0,1.924,0.121,1.0,1.0,0.168,0.62,0.899,1.066,0.676,1.296,0.676,0.0,-0.468,0.0,8.473,-9.039,-0.566,0.0,1.333,1.333,0.164,0.882,1.046,0.842,0.918,1.76,4.453,-4.751,-0.298,0.0,1.067,1.067,0.163,0.876,1.039,0.702,0.765,1.467,-4.238220509529111,1.0,-3.204,0.25,-146.972,6.667
